order_id,customer_id,order_date,total_amount
1,731,2022-06-26,403.43
2,184,2022-02-23,311.66
3,776,2024-05-12,138.94
4,257,2023-04-15,246.84
5,465,2023-11-26,176.91
6,67,2022-03-16,400.81
7,162,2022-11-09,84.9
8,942,2023-07-24,415.46
9,482,2024-10-26,186.45
10,807,2024-11-19,25.31
11,582,2022-12-01,189.17
12,678,2024-01-20,118.99
13,144,2024-07-17,383.81
14,742,2023-10-18,350.01
15,555,2024-02-04,380.81
16,538,2023-05-22,482.22
17,808,2022-06-16,222.07
18,773,2022-12-29,32.05
19,81,2024-03-07,322.22
20,333,2022-05-21,188.7
21,270,2022-09-03,167.55
22,729,2023-11-19,313.03
23,889,2024-06-05,434.42
24,920,2022-06-13,478.15
25,644,2022-07-27,354.84
26,563,2025-01-04,149.32
27,519,2024-07-12,325.27
28,386,2022-08-28,48.62
29,544,2022-12-13,62.07
30,935,2022-06-29,37.11
31,419,2024-03-28,114.46
32,719,2025-02-11,285.28
33,756,2023-08-17,434.92
34,763,2024-12-13,238.04
35,646,2023-11-06,453.52
36,931,2023-12-16,97.36
37,130,2023-10-30,366.24
38,600,2022-09-24,390.4
39,947,2025-01-27,217.44
40,339,2022-11-02,405.54
41,18,2023-09-11,233.65
42,753,2022-07-12,158.58
43,319,2024-04-18,123.73
44,211,2022-07-16,471.6
45,509,2024-01-16,40.89
46,355,2022-08-10,118.49
47,316,2024-12-12,447.32
48,173,2022-06-10,354.36
49,543,2024-05-16,486.37
50,951,2023-11-14,406.61
51,573,2024-11-20,135.12
52,242,2024-12-04,147.92
53,595,2024-10-04,188.96
54,34,2024-10-29,480.55
55,109,2023-03-22,480.21
56,987,2024-01-12,121.19
57,655,2022-04-06,402.8
58,891,2023-07-06,369.28
59,466,2024-10-28,390.11
60,166,2024-01-18,214.94
61,453,2024-11-13,87.34
62,389,2023-09-03,126.52
63,14,2025-01-29,155.09
64,572,2023-11-07,102.09
65,497,2024-08-29,154.98
66,561,2024-08-06,491.57
67,331,2024-05-11,193.92
68,687,2024-11-06,180.85
69,545,2022-02-20,214.24
70,624,2024-03-23,427.57
71,551,2023-08-27,313.87
72,461,2022-08-03,107.77
73,694,2024-03-21,66.02
74,355,2024-04-21,448.17
75,726,2023-09-24,30.11
76,556,2023-11-01,150.91
77,972,2024-06-08,419.91
78,168,2024-07-05,426.4
79,948,2024-12-22,117.86
80,931,2022-10-24,464.09
81,110,2023-02-19,384.37
82,154,2024-02-06,309.39
83,956,2024-11-01,323.23
84,387,2023-11-14,238.86
85,235,2022-05-01,201.18
86,556,2024-10-22,91.99
87,554,2023-10-28,125.17
88,356,2022-09-15,89.58
89,852,2024-07-12,201.46
90,821,2024-05-12,307.89
91,389,2024-03-30,433.23
92,220,2024-02-26,204.92
93,243,2022-05-26,430.16
94,411,2022-04-30,386.75
95,178,2022-11-27,26.57
96,477,2022-08-19,330.95
97,306,2024-06-29,313.76
98,567,2024-09-30,370.45
99,397,2022-11-29,20.34
100,149,2025-01-02,89.22
101,232,2022-06-27,390.42
102,705,2023-12-11,284.18
103,596,2024-09-22,22.18
104,195,2023-08-11,397.36
105,942,2025-01-24,254.24
106,839,2023-06-09,274.09
107,526,2024-06-01,84.73
108,510,2023-11-24,147.76
109,224,2023-10-20,159.86
110,474,2022-06-28,470.37
111,865,2023-11-14,311.85
112,551,2024-05-04,438.38
113,994,2023-05-25,274.65
114,324,2023-01-19,77.22
115,970,2024-07-08,215.9
116,763,2023-08-01,487.05
117,543,2023-09-10,469.3
118,60,2024-09-03,247.47
119,691,2025-01-23,368.34
120,900,2022-09-22,428.37
121,982,2024-03-21,334.07
122,252,2024-09-19,225.56
123,342,2023-09-13,246.28
124,300,2022-12-09,237.52
125,776,2022-10-14,367.13
126,195,2024-12-16,365.46
127,853,2023-09-25,88.52
128,797,2024-06-08,374.78
129,570,2024-03-12,104.03
130,664,2023-06-26,304.36
131,644,2022-11-02,493.2
132,921,2023-11-18,140.96
133,450,2023-08-20,339.53
134,294,2023-11-08,440.34
135,280,2024-08-20,420.19
136,456,2022-07-28,300.48
137,160,2022-06-09,369.66
138,116,2024-02-22,489.95
139,443,2023-10-30,494.56
140,596,2024-03-30,49.11
141,102,2022-07-31,179.42
142,623,2023-03-19,286.29
143,261,2024-09-28,423.8
144,305,2022-03-13,450.5
145,120,2023-09-28,222.22
146,928,2024-11-03,145.48
147,854,2022-11-26,164.64
148,999,2024-04-21,343.0
149,91,2022-09-11,267.6
150,559,2025-01-22,145.74
151,727,2023-04-08,303.46
152,251,2023-07-03,365.02
153,555,2024-01-02,75.89
154,93,2024-03-20,231.11
155,132,2023-09-04,315.0
156,215,2022-12-30,302.05
157,189,2022-05-30,248.59
158,675,2024-02-06,39.96
159,707,2023-11-26,72.72
160,611,2023-08-20,83.17
161,935,2022-06-21,407.51
162,454,2022-09-04,95.89
163,600,2024-08-10,75.96
164,494,2023-07-13,88.62
165,549,2025-02-04,193.75
166,548,2024-07-10,221.2
167,454,2025-01-05,273.7
168,912,2023-08-21,312.5
169,367,2022-12-21,300.29
170,353,2024-08-07,150.25
